PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Joel Embiid,PHI,66,6.7,23.3,1.23,8.2,2.9,4.9,58,61,21.4,9.5,20.9,5,59.1,68.1
Nikola Vucevic,CHI,82,4.7,28.5,1.09,5.1,2.2,4.2,52.3,56.5,4.9,6.7,4.9,2,50.3,43.8
Deandre Ayton,PHX,67,4.8,29.3,1.2,5.8,2.6,4.2,61.7,61.9,9.7,5.3,10,3,60.1,65.2
Bam Adebayo,MIA,75,4.2,21.3,1.14,4.8,1.9,3.5,55.1,55.1,13,5.1,13,2,56.8,52.5
Anthony Davis,LAL,56,4.3,18.9,1.28,5.5,2.3,3.6,62.7,63.9,14.5,5,14.5,2,63.2,77.9
Brook Lopez,MIL,78,2.9,21.2,1.32,3.9,1.5,2.7,57.7,65.4,10.5,3.1,10.5,4,58.5,81.9
Evan Mobley,CLE,79,3.3,21.3,1.09,3.6,1.5,2.5,57.8,59.3,17.6,10.7,16.8,4,55,45.3
Domantas Sabonis,SAC,79,2.6,15.1,1.33,3.5,1.5,2.1,69,70.5,17,7.3,16.5,6,66,84.8
Myles Turner,IND,62,3.5,22.8,1.24,4.4,1.6,2.9,55.3,60.9,16.1,5.5,15.6,4,57.8,70.3
Christian Wood,DAL,67,2.7,17.8,1.44,3.9,1.4,2.2,62.7,72,16.2,4.5,15.6,4,64.2,93.1
Clint Capela,ATL,65,2.9,28.6,1.38,4,1.8,2.5,71.4,71.4,13.4,4.3,13.4,4,70.4,90.9
Alperen Sengun,HOU,75,3.1,20.7,1.09,3.4,1.4,2.5,55.7,57,15.6,9.1,14.3,5,54.1,46
Jarrett Allen,CLE,68,3,24.5,1.15,3.4,1.5,2.4,61.1,61.4,10.9,10.9,10,2,57.7,55.3
Nic Claxton,BKN,76,2.2,21,1.36,3,1.3,1.7,76.2,76.2,18.8,7.9,18.8,6,71.5,89.7
Nikola Jokic,DEN,69,2.3,11.2,1.37,3.2,1.4,2,67.9,72.1,8.7,6.8,8.7,2,64,90.6
Kristaps Porzingis,WAS,65,2.9,14,1.18,3.4,1.1,2.4,46.2,56.1,15.1,3.8,14,3,50.5,61.2
Jonas Valanciunas,NOP,79,2.5,18.3,1.06,2.6,1.1,2.3,49.4,52.5,8.1,3,8.1,2,51.3,39.1
Ivica Zubac,LAC,76,1.9,19,1.3,2.4,0.9,1.3,69.3,69.3,21.3,10.6,20.6,4,66.7,80.4
Rudy Gobert,MIN,70,2.1,17.7,1.25,2.6,1.1,1.5,69.8,69.8,24.8,8.3,24.1,6,67.6,73.2
Naz Reid,MIN,69,2.3,21.6,1.14,2.6,1,2,52.6,59.9,8.3,6.4,7.7,3,50.6,53.6
Daniel Gafford,WAS,78,1.7,23.8,1.34,2.3,0.9,1.3,70.2,70.2,19.7,6.8,19.7,5,66.7,85.1
Dwight Powell,DAL,76,1.6,28.9,1.47,2.3,0.9,1.1,78.2,78.2,24.6,6.8,24.6,5,74.6,93.8
Onyeka Okongwu,ATL,80,1.7,20.3,1.27,2.1,0.9,1.4,65.1,65.1,17,8.1,15.6,6,63,75.7
Lauri Markkanen,UTA,66,1.9,8.9,1.33,2.6,0.9,1.7,52.7,62.7,14.8,3.1,12.5,4,56.3,82.2
Bobby Portis,MIL,70,1.9,14.4,1.22,2.4,0.9,1.7,53.3,63.9,5.1,6.6,5.1,2,50.7,67
Wendell Carter Jr.,ORL,57,2.6,18.5,1.11,2.9,1.2,2.2,53.1,59,6.7,8.1,6.7,1,51,47.8
P.J. Washington,CHA,73,1.7,10.5,1.28,2.1,0.8,1.5,55,62.4,11.5,2.5,9.8,3,57.4,76.7
Isaiah Jackson,IND,63,2,29.3,1.15,2.3,0.9,1.7,54.2,54.2,20.5,2.4,19.7,7,59.1,55.8
Zach Collins,SAS,63,2.2,19.1,1.03,2.3,0.9,2,46.1,53.9,6.4,5.7,6.4,3,45.4,35.5
Brandon Clarke,MEM,56,1.8,21.8,1.4,2.5,1.1,1.6,67.4,67.4,18,3,17,10,68,92.4
KJ Martin,HOU,82,1.3,11.7,1.25,1.6,0.6,1,64.6,65.8,20.8,9.4,19.8,5,62.3,72.8
John Collins,ATL,71,1.5,12.5,1.23,1.9,0.7,1.3,55.4,59.8,13,4.6,13,3,57.4,69.2
Jusuf Nurkic,POR,52,2.2,16.6,1.14,2.5,1,1.7,56.2,58.4,23.3,12.9,23.3,13,53.4,53.1
Thomas Bryant,LAL,41,2.4,25.8,1.35,3.2,1.3,2,65.9,67.7,16.5,4.1,16.5,5,64.9,87
Jaren Jackson Jr.,MEM,63,1.7,10,1.24,2.1,0.7,1.3,54.2,61.4,20.8,5.7,20.8,5,58.5,69.6
Nick Richards,CHA,65,1.4,21.1,1.35,2,0.7,1.1,65.7,65.7,29.8,7.4,29.8,12,67,87.3
Giannis Antetokounmpo,MIL,63,1.8,6.2,1.09,2,0.7,1.3,53.6,57.1,25,5.2,24.1,4,54.3,45.7
Mason Plumlee,CHA,56,1.9,17.8,1.19,2.3,0.9,1.4,62.3,62.3,28.3,7.5,27.4,8,61.3,63.8
Jakob Poeltl,SAS,46,2.4,20.2,1.12,2.7,1.2,2,61.1,61.1,12.8,9.2,12.8,5,56,49.3
Isaiah Stewart,DET,50,2,17.7,1.18,2.4,0.8,1.4,55.6,61.8,23.5,7.8,21.6,3,57.8,60.7
Jayson Tatum,BOS,74,1.5,5.4,1.09,1.6,0.6,1.2,46.7,57.6,8.2,9.1,8.2,1,46.4,44.5
Drew Eubanks,POR,78,1.2,21,1.24,1.5,0.7,1,67.9,68.6,14.6,8.3,14.6,4,63.5,71
Jalen Duren,DET,67,1.4,16.4,1.24,1.7,0.7,1.1,66.2,66.2,16.3,7.6,15.2,4,63,70.7
Julius Randle,NYK,77,1.3,5.2,1.16,1.5,0.5,1.1,46.9,58,12.4,5.2,9.3,1,50.5,57.2
Draymond Green,GSW,73,1.3,13.5,1.13,1.5,0.6,1.1,59.5,60.1,14.3,10.2,14.3,5,57.1,51.1
Moritz Wagner,ORL,57,1.7,18.3,1.1,1.9,0.6,1.3,49.3,54,20.2,9.1,20.2,5,52.5,46.7
Andre Drummond,CHI,67,1.4,23.6,1.13,1.6,0.7,1,67.6,67.6,17.7,14.6,17.7,3,58.3,49.8
Jock Landale,PHX,69,1.4,22.4,1.09,1.6,0.6,1.2,46.5,51.2,13.1,3,13.1,3,50.5,44.5
Jalen Smith,IND,68,1.7,18.3,0.92,1.6,0.6,1.4,40.4,46.8,12.8,8.5,13.7,3,41.9,24.3
Walker Kessler,UTA,74,1.1,14.3,1.29,1.4,0.6,0.9,68.1,68.1,11.5,2.6,11.5,3,66.7,80.1
