PLAYER,TEAM,AGE,HEIGHT_EXCEL_ERROR,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,HEIGHT_unformatted,HEIGHT
A.J. Lawson,DAL,23,6-Jun,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,8,3.1,0.5,0.4,13.2,3.4,3.6,20.6,48.5,7.7,6-6,78
AJ Green,MIL,24,4-Jun,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,18,3.4,0.8,0.7,7.6,2.4,7.5,13.2,64.3,10.8,6-4,76
AJ Griffin,ATL,20,6-Jun,220,Duke,USA,2022,1,16,12,2.5,1,0.3,-10.7,1.7,10.2,13.8,43,4.7,6-6,78
Aaron Gordon,DEN,28,8-Jun,235,Arizona,USA,2014,1,4,23,13,7.2,3.6,5.5,8.6,13,17.8,53.2,14.8,6-8,80
Aaron Holiday,HOU,27,Jun-00,185,UCLA,USA,2018,1,23,21,6.8,1.9,1.9,6.5,1.5,8,14.5,58.3,15.4,6-1,73
Aaron Nesmith,IND,24,6-Jun,215,Vanderbilt,USA,2020,1,14,23,11.5,3.1,1,-1.4,3.9,8.8,15.4,66,5,6-6,78
Aaron Wiggins,OKC,24,5-Jun,190,Maryland,USA,2021,2,55,22,5.2,2,0.7,4.4,5.2,10.5,15.1,72,8.6,6-5,77
Admiral Schofield,ORL,26,5-Jun,241,Tennessee,United Kingdom,2019,2,42,8,0.9,0.6,0.3,-6.2,0,15.6,21.7,32.2,13.3,6-5,77
Al Horford,BOS,37,9-Jun,240,Florida,Dominican Republic,2007,1,3,22,7.4,6.9,2.7,9.3,6.5,18,11.2,62,13.6,6-9,81
Alec Burks,DET,32,5-Jun,214,Colorado,USA,2011,1,12,19,9.4,2.2,1.4,-12.6,2.5,9.4,21.1,52.7,12.4,6-5,77
Aleksej Pokusevski,OKC,21,Jul-00,210,None,Serbia,2020,1,17,7,0.9,1.1,0.7,-31.2,4.3,18.2,15.2,25.3,16.7,7-1,85
Alex Caruso,CHI,29,5-Jun,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,22,9.4,3.3,2.3,-3.1,4.8,9.6,15.4,68.2,15.4,6-5,77
Alex Fudge,LAL,20,8-Jun,200,Florida,USA,Undrafted,Undrafted,Undrafted,4,1,0.5,0,-77.3,13.3,0,21.1,29.1,0,6-8,80
Alex Len,SAC,30,Jul-00,250,Maryland,Ukraine,2013,1,5,6,2.5,2.7,0.8,19,14.9,22.5,12.3,67.7,15.2,7-1,85
Alperen Sengun,HOU,21,11-Jun,243,None,Turkey,2021,1,16,23,19.7,9,5.2,5.2,7.7,19,26.6,57.6,26.4,6-11,83
Amari Bailey,CHA,19,3-Jun,185,UCLA,USA,2023,2,41,2,2.5,1,0,-1.4,20,0,29.6,36.3,0,6-3,75
Amen Thompson,HOU,20,7-Jun,200,None,USA,2023,1,4,5,5.4,3.2,1.4,-9.4,3.4,19.1,18.8,49.1,13.5,6-7,79
Amir Coffey,LAC,26,7-Jun,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,14,2.5,1.1,0.4,0.9,2.9,9.4,11.4,49.9,5.8,6-7,79
Andre Drummond,CHI,30,11-Jun,279,Connecticut,USA,2012,1,9,28,6,6.8,0.5,-1.5,19.5,30.5,20.7,53.4,6.3,6-11,83
Andre Jackson Jr.,MIL,22,6-Jun,209,Connecticut,USA,2023,2,36,20,2.8,1.8,0.9,-1.3,8.1,9.5,9.6,72.4,11.3,6-6,78
Andrew Nembhard,IND,23,4-Jun,191,Gonzaga,Canada,2022,2,31,17,7,1.7,4.1,4.3,2.7,6.3,18.2,50.4,27.5,6-4,76
