PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Coby White,CHI,22,6.5,43.2,1.17,7.7,2.7,6,44.4,60.9,2.8,4.9,2.8,0,43.8,74.9
Michael Porter Jr.,DEN,22,4.8,31,1.29,6.2,2.2,4.5,48.5,67.2,4.7,4.7,3.8,2.8,47.2,88.8
Jerami Grant,POR,19,6.4,29.5,1.08,6.9,2.3,5.7,40.4,55.5,5.8,6.6,5.8,2.5,39.7,59.1
Eric Gordon,PHX,18,5.4,39.3,1.34,7.2,2.6,5.2,50,68.6,1,2.1,1,0,49.5,91.7
Jalen Brunson,NYK,19,4,17.7,1.58,6.3,2.2,3.7,58.6,78.6,7.9,3.9,7.9,3.9,57.9,99
Derrick Jones Jr.,DAL,20,4.5,51.4,1.29,5.8,2,3.9,51.3,71.8,5.6,10,5.6,2.2,47.8,87.8
Norman Powell,LAC,20,4.1,38.3,1.38,5.7,1.8,3.3,54.5,73.5,12.2,8.5,11,1.2,53.7,93.4
Dennis Schroder,TOR,21,4.7,28.9,1.14,5.4,1.8,4.2,42,56.3,8.1,4,8.1,1,44.4,67
Jordan Hawkins,NOP,21,5.2,42.2,1.02,5.3,1.7,4.8,36,49.5,4.6,3.7,4.6,0,37.6,48.2
Tim Hardaway Jr.,DAL,18,5.2,34.2,1.17,6.1,2.1,5.1,41.8,57.7,4.3,1.1,4.3,2.1,42.6,73.4
Malik Beasley,MIL,20,4.2,41.9,1.29,5.4,1.9,4.1,46.9,66,0,2.4,0,0,45.8,88.1
Donte DiVincenzo,NYK,19,3.9,44.4,1.41,5.6,1.9,3.7,51.4,75.7,0,6.7,0,0,48,95.7
OG Anunoby,TOR,17,5.1,35.4,1.21,6.2,2.1,4.5,45.5,63.6,5.7,6.9,5.7,1.1,44.8,78.5
Mikal Bridges,BKN,20,4.5,20.8,1.14,5.2,1.7,4,42.5,55.6,8.9,2.2,8.9,0,46.7,67.7
Grant Williams,DAL,19,5.3,56.2,1.03,5.4,1.8,4.7,38.2,54.5,5,7,3,1,38,49.2
Sam Hauser,BOS,19,4.3,54,1.26,5.4,1.8,4.2,42.5,63.7,0,1.2,0,0,42,85.1
Max Strus,CLE,21,4.2,30.1,1.15,4.9,1.7,4.1,40.7,57.6,2.2,2.2,2.2,1.1,40.4,68.3
Kyle Kuzma,WAS,20,4.5,19.8,1.13,5.1,1.9,4,46.8,61.4,3.3,10,3.3,1.1,43.3,66
Royce O'Neale,BKN,19,4.5,53.5,1.19,5.3,1.8,4.3,42,61.7,1.2,3.5,1.2,0,41.2,77.2
Bogdan Bogdanovic,ATL,20,4.3,29.5,1.19,5.1,1.8,4.2,42.9,59.5,2.4,1.2,2.4,2.4,42.4,77.2
P.J. Washington,CHA,18,6.2,41.6,0.91,5.6,2,5.4,36.7,47.4,6.3,5.4,5.4,0,37.8,30
Isaiah Joe,OKC,20,3.4,40.6,1.49,5,1.6,3.2,50.8,74.6,4.5,3,3,1.5,50.7,97.4
John Collins,UTA,21,4.4,31.6,1.08,4.7,1.6,3.9,40.2,53,10.9,1.1,9.8,1.1,44.6,57.8
Karl-Anthony Towns,MIN,20,5.6,27.5,0.88,4.9,1.8,4.5,39.3,50.6,4.5,16.1,4.5,0,35.7,26.2
DeMar DeRozan,CHI,20,4.5,21.5,1.08,4.9,1.7,4.1,42,53.1,7.8,3.3,7.8,1.1,44.4,58.4
Scottie Barnes,TOR,21,4.4,22.5,1.05,4.6,1.6,4,38.8,53.5,4.3,3.3,4.3,0,40.2,52.8
Lonnie Walker IV,BKN,17,4.7,36.2,1.18,5.5,1.9,4.1,46.4,63,6.3,10,6.3,2.5,43.8,75.5
Grayson Allen,PHX,18,4.6,42.9,1.15,5.2,1.8,4.3,41.6,58.4,2.4,3.7,2.4,0,41.5,68.6
Keldon Johnson,SAS,19,4.5,28.6,1.09,4.9,1.6,4.1,39.7,53.8,9.3,2.3,9.3,2.3,41.9,62.3
Dejounte Murray,ATL,20,4.3,21.1,1.09,4.7,1.7,3.9,43.6,56.4,3.5,5.8,2.3,0,43,62.3
Buddy Hield,IND,18,5,39.5,1.03,5.2,1.9,4.4,43,57.6,2.2,11.1,2.2,1.1,38.9,50.3
Spencer Dinwiddie,BKN,19,3.2,21.1,1.52,4.8,1.6,3.1,53.4,75.9,5,0,3.3,1.7,55,98.3
Cole Anthony,ORL,21,3.1,20.6,1.38,4.3,1.6,2.8,55.9,71.2,9.1,6.1,7.6,4.5,54.5,93.7
Franz Wagner,ORL,21,4.3,21.7,1,4.3,1.6,4,40,50,3.3,3.3,3.3,0,40.7,43.9
Kawhi Leonard,LAC,20,3.8,18.7,1.2,4.5,1.6,3.3,48.5,61.4,9.3,4,6.7,1.3,50.7,77.8
Georges Niang,CLE,21,4.5,53.4,0.95,4.2,1.4,4.1,34.5,45.4,6.4,2.1,6.4,1.1,37.2,33.3
Dorian Finney-Smith,BKN,19,4,40.4,1.16,4.6,1.6,3.7,43.7,62,0,6.6,0,0,40.8,71
Isaiah Stewart,DET,21,3.8,32.8,1.09,4.1,1.4,3.6,40,57.3,1.3,6.3,1.3,1.3,37.5,60.1
Nickeil Alexander-Walker,MIN,20,3.9,51,1.1,4.3,1.5,3.6,41.7,57.6,1.3,5.2,1.3,0,40.3,63.7
Aaron Nesmith,IND,16,3.7,42.4,1.41,5.2,1.6,3.1,52,71,11.9,3.4,6.8,0,55.9,95
Kevin Durant,PHX,18,3.3,12,1.38,4.6,1.5,2.9,50.9,69.8,8.3,3.3,6.7,0,53.3,94.1
Jabari Smith Jr.,HOU,18,3.6,29.4,1.3,4.6,1.6,3.2,50,69.8,1.6,7.8,1.6,0,46.9,89.1
Paolo Banchero,ORL,21,3.1,14.9,1.26,4,1.2,2.5,50,67.3,15.2,6.1,12.1,0,53,84.4
Desmond Bane,MEM,20,3.3,13.8,1.26,4.2,1.5,2.9,52.6,67.5,7.6,7.6,7.6,1.5,51.5,84.4
Dillon Brooks,HOU,18,4,30.3,1.15,4.6,1.7,3.4,48.4,62.1,5.6,11.1,5.6,2.8,44.4,69.6
Duncan Robinson,MIA,19,3.4,26.3,1.28,4.3,1.5,3,50.9,71.1,1.6,9.4,1.6,0,46.9,86.1
Jayson Tatum,BOS,19,3.5,14,1.21,4.3,1.4,2.9,49.1,66.4,9,10.4,9,1.5,47.8,78.9
Harrison Barnes,SAC,18,4.3,41.5,1.04,4.5,1.6,4.1,37.8,50.7,6.4,1.3,5.1,2.6,39.7,51.3
Derrick White,BOS,16,3.3,25.5,1.49,4.9,1.6,2.9,53.2,74.5,9.4,3.8,9.4,1.9,54.7,97
Brook Lopez,MIL,20,3.8,32.6,1.04,4,1.4,3.6,37.5,52.1,2.6,2.6,2.6,0,38.2,51.8
Josh Hart,NYK,19,4.2,50.3,1,4.2,1.6,3.8,41.1,52.1,5.1,5.1,5.1,2.5,39.2,43.9
Naz Reid,MIN,20,3.9,34.4,1,3.9,1.5,3.6,40.8,54.9,0,9,0,0,37.2,43.9
Chet Holmgren,OKC,20,4,26.1,0.99,3.9,1.4,3.3,43.1,51.5,7.6,10.1,7.6,0,43,41.3
De'Andre Hunter,ATL,20,4.1,30.1,0.95,3.9,1.2,3.6,33.8,45.1,9.8,6.1,9.8,2.4,36.6,34.7
Santi Aldama,MEM,14,5.4,39.3,1.03,5.5,2,5,40,52.1,2.7,4,2.7,0,40,48.8
De'Anthony Melton,PHI,20,3.9,29.3,1,3.9,1.3,3.7,34.2,50,3.9,2.6,2.6,1.3,35.1,43.9
Brandon Miller,CHA,17,4.2,29,1.07,4.5,1.6,3.9,42.4,56.1,2.8,5.6,2.8,1.4,40.8,56.4
Jaime Jaquez Jr.,MIA,21,3.6,31.3,1.01,3.6,1.4,3.2,43.3,56,1.3,10.7,1.3,1.3,38.7,47.2
Kentavious Caldwell-Pope,DEN,22,2.8,27.2,1.21,3.4,1.2,2.6,47.4,64,3.2,6.5,3.2,1.6,45.2,79.2
Matisse Thybulle,POR,20,3.2,56.1,1.17,3.8,1.3,3,41.7,59.2,4.7,3.1,4.7,1.6,42.2,74.3
Malik Monk,SAC,18,3.6,25.1,1.15,4.2,1.4,3.4,40.3,58.1,1.5,3.1,1.5,0,40,70.2
Saddiq Bey,ATL,20,3.5,31.4,1.07,3.8,1.3,3.1,41,56.6,5.7,10,5.7,2.9,38.6,56.8
