PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Stephen Curry,GSW,19,4.2,16.8,1.44,6.1,2.1,3.8,54.8,76,5,7.5,5,3.8,51.2,94.9
Klay Thompson,GSW,20,5.4,33.2,1.06,5.8,2,4.7,43,54.8,6.5,9.3,6.5,1.9,41.7,57
Paul George,LAC,20,2.4,10.5,1.06,2.5,0.9,2.2,40.9,52.3,4.3,4.3,4.3,2.1,40.4,55.7
Brandon Ingram,NOP,18,2.2,9.4,1.21,2.6,1.2,1.9,60,61.4,5.1,5.1,2.6,0,59,78.5
Lauri Markkanen,UTA,15,3.5,16.9,0.85,2.9,1.1,3.1,36.2,43.6,3.8,7.7,3.8,1.9,34.6,27.8
Kevin Durant,PHX,18,2.3,8.2,1.05,2.4,0.8,2,41.7,48.6,9.8,2.4,7.3,0,46.3,53.2
Nikola Jokic,DEN,21,1.5,5.7,1.29,1.9,0.8,1.3,59.3,64.8,19.4,3.2,16.1,9.7,58.1,86.1
Michael Porter Jr.,DEN,22,2,12.9,0.91,1.8,0.8,1.9,41.5,48.8,0,6.8,0,0,38.6,32.9
Corey Kispert,WAS,19,1.9,19,1.08,2.1,0.6,1.7,37.5,51.6,8.3,2.8,8.3,0,41.7,62.3
Bogdan Bogdanovic,ATL,20,1.7,11.8,1.03,1.8,0.7,1.6,43.8,53.1,2.9,5.9,2.9,2.9,41.2,48.1
Karl-Anthony Towns,MIN,20,1.3,6.4,1.31,1.7,0.6,1.2,47.8,65.2,7.7,3.8,7.7,0,50,88.6
Jordan Poole,WAS,19,2.3,11.9,0.77,1.8,0.7,1.8,37.1,44.3,4.5,18.2,4.5,2.3,31.8,17.7
Jordan Hawkins,NOP,21,1.1,9.3,1.38,1.6,0.5,1.1,47.8,67.4,8.3,0,8.3,4.2,50,91.1
Jerami Grant,POR,19,2.3,10.5,0.77,1.7,0.5,1.8,29.4,36.8,14,11.6,14,4.7,32.6,16.5
Anthony Edwards,MIN,18,1.2,4.8,1.46,1.8,0.6,0.9,62.5,71.9,22.7,9.1,22.7,4.5,63.6,96.2
