PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Klay Thompson,GSW,69,6,29.1,0.98,5.9,2.1,5.3,38.8,52.3,3.4,8.7,3.1,1,36.9,52.4
Lauri Markkanen,UTA,66,3.2,14.8,1.11,3.6,1.2,2.7,42.2,53.1,13.2,6.1,12.7,4.2,44.3,75.8
Bojan Bogdanovic,DET,59,3.1,16.1,1.17,3.6,1.3,2.6,49,59.4,8.2,8.7,6.6,1.6,48.1,81.9
Stephen Curry,GSW,56,3.1,12.4,1.03,3.2,1,2.6,39.2,51.7,9.1,9.7,8.5,2.8,39.2,66.1
Jordan Poole,GSW,82,2,9.5,1,2,0.6,1.6,36.9,49.2,12.3,10.5,11.7,3.1,38.9,60.6
Devin Booker,PHX,53,2.3,9.2,1.25,2.9,1,1.8,55.1,63.3,14.5,9.7,14.5,3.2,54.8,91.6
Jaylen Brown,BOS,67,2.5,9.8,0.92,2.3,0.9,2.1,41,49.7,5.4,10.1,5.4,1.2,39.3,38.3
Jayson Tatum,BOS,74,2.1,7.5,0.98,2,0.7,1.7,40.8,48.4,11.2,9.9,11.2,3.9,40.8,52
Malik Beasley,UTA,55,2.4,17.8,1.1,2.6,1,2.3,41.9,56.2,0,2.3,0,0,40.9,73.6
Damian Lillard,POR,58,1.9,6.9,1.12,2.2,0.7,1.8,42.2,57.8,4.5,7.1,3.6,2.7,40.2,76.2
CJ McCollum,NOP,75,1.8,8.4,0.88,1.6,0.6,1.7,34.1,42.9,6.6,3.7,6.6,2.9,35.3,30.4
Desmond Bane,MEM,58,2,10.2,0.98,2,0.7,1.8,39.8,51,4.3,8.6,4.3,1.7,37.9,53.7
Tim Hardaway Jr.,DAL,71,1.1,8.2,1.35,1.5,0.4,1,45.6,61.8,15,2.5,15,2.5,50,95.2
Michael Porter Jr.,DEN,63,1.8,12.1,0.96,1.7,0.7,1.7,39.6,48.6,2.7,4.4,2.7,0.9,38.9,48.9
Donovan Mitchell,CLE,68,1.9,7.4,0.85,1.6,0.6,1.7,35,41.5,4.7,3.1,4.7,0,37,25.2
Terry Rozier,CHA,64,2,9,0.85,1.7,0.6,1.8,36,42.5,4.7,6.3,4.7,0.8,36.2,25.2
Darius Garland,CLE,69,1.2,5.6,1.29,1.5,0.5,1,53.6,66.7,12.2,7.3,12.2,3.7,52.4,93.8
Kevin Huerter,SAC,75,1.3,9.8,1.06,1.4,0.5,1.2,41.1,55.6,3,6.1,2,0,40.4,69.5
