PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TOV,SF,AND ONE,SCORE,PERCENTILE
,,,,,,,,,,,FREQ%,FREQ%,FREQ%,FREQ%,FREQ%,
Nikola Vucevic,CHI,22,6.4,36.8,1.04,6.6,2.8,5.5,50,54.9,6.4,8.6,6.4,2.1,47.9,32
Alperen Sengun,HOU,18,6.9,33.5,1.08,7.4,3.1,5.7,53.9,57.4,12.1,8.1,10.5,2.4,52.4,38.1
Joel Embiid,PHI,17,5.4,17.8,1.05,5.7,2,4.1,49.3,52.2,16.3,10.9,13,2.2,51.1,34
Myles Turner,IND,18,3.6,23.7,1.5,5.3,1.8,2.9,62.3,73.6,20.3,4.7,20.3,7.8,64.1,92.6
Nikola Jokic,DEN,21,3.4,13,1.24,4.2,1.8,3.1,56.1,61.4,9.9,2.8,9.9,5.6,56.3,66
Anthony Davis,LAL,20,4,19.2,1.06,4.2,1.6,3.2,50.8,50.8,15.2,7.6,15.2,2.5,53.2,35.1
Chet Holmgren,OKC,20,3,19.8,1.23,3.7,1.2,2.6,47.1,55.9,18.3,1.7,18.3,5,53.3,64.9
Jakob Poeltl,TOR,21,2.3,25.3,1.49,3.5,1.6,2,81,81,12.2,6.1,12.2,4.1,75.5,88.7
Moritz Wagner,ORL,21,2.6,24.5,1.28,3.3,1.3,2.1,63.6,64.8,18.5,7.4,18.5,7.4,63,71.9
Zach Collins,SAS,20,3.9,25.9,0.87,3.4,1.4,3.4,41.2,46.3,3.8,9,3.8,0,39.7,14.4
Jonas Valanciunas,NOP,21,2.3,18.7,1.38,3.1,1.3,2.1,63.6,68.2,8.3,2.1,6.3,2.1,64.6,82.5
Deandre Ayton,POR,18,3.4,26.6,1.08,3.7,1.7,2.8,58.8,58.8,6.6,11.5,6.6,1.6,54.1,39.2
Kristaps Porzingis,BOS,15,3.3,21.6,1.3,4.3,1.6,2.9,54.5,65.9,8,6,8,2,54,74.2
Domantas Sabonis,SAC,18,2.7,14.8,1.31,3.5,1.3,2,63.9,68.1,25,10.4,25,10.4,62.5,77.3
Bam Adebayo,MIA,16,3.4,16,1.13,3.9,1.4,2.4,59,59,21.8,9.1,21.8,1.8,60,45.4
Jalen Duren,DET,14,3.2,26,1.31,4.2,1.7,2.5,68.6,68.6,22.2,11.1,22.2,11.1,64.4,76.3
Ivica Zubac,LAC,20,2.7,25,1.11,3,1.2,1.7,69.7,69.7,22.6,18.9,22.6,3.8,60.4,42.7
Rudy Gobert,MIN,20,2.7,21.7,1.11,3,1.1,1.8,60,60,30.2,13.2,28.3,9.4,58.5,42.7
Dario Saric,GSW,21,2.8,27.4,1.02,2.8,0.9,2.5,36.5,50,6.9,3.4,6.9,0,39.7,26.8
Karl-Anthony Towns,MIN,20,2.2,10.6,1.33,2.9,1.1,2,52.5,62.5,9.3,0,7,2.3,55.8,78.4
Evan Mobley,CLE,21,2.9,18.8,0.9,2.6,1.1,2.2,50,50,11.5,14.8,11.5,1.6,47.5,16.5
Mark Williams,CHA,18,2.5,23.2,1.2,3,1.2,2,61.1,61.1,15.6,6.7,15.6,2.2,62.2,60.9
Giannis Antetokounmpo,MIL,19,2.3,8.3,1.23,2.8,1.2,1.7,69.7,69.7,11.6,11.6,11.6,0,65.1,63.9
Brook Lopez,MIL,20,2,17.2,1.25,2.5,0.8,1.8,45.7,58.6,15,2.5,15,5,50,68.8
Jaren Jackson Jr.,MEM,20,3.1,14.9,0.8,2.5,0.9,2.6,32.7,35.6,16.4,3.3,16.4,4.9,39.3,7.2
Daniel Gafford,WAS,18,1.9,22.5,1.41,2.7,1.2,1.6,75,75,20.6,5.9,20.6,8.8,70.6,84.5
Jarrett Allen,CLE,16,2.4,21.7,1.18,2.9,1.3,1.9,64.5,64.5,15.4,12.8,15.4,7.7,59,52.6
P.J. Washington,CHA,18,2.4,16.5,1.02,2.5,1.1,2.2,48.7,55.1,4.5,9.1,4.5,2.3,45.5,27.8
Jusuf Nurkic,PHX,20,2.5,18.8,0.9,2.2,0.9,2,46.2,48.7,10.2,14.3,10.2,4.1,42.9,15.5
Dereck Lively II,DAL,18,1.8,25.4,1.34,2.4,1.1,1.6,67.9,67.9,15.6,3.1,15.6,6.3,65.6,79.4
