,GP_PnR_handler,POSS_PnR_handler,FREQ%_PnR_handler,PPP_PnR_handler,PTS_PnR_handler,FGM_PnR_handler,FGA_PnR_handler,FG%_PnR_handler,EFG%_PnR_handler,FT_PnR_handler,TOV_PnR_handler,SF_PnR_handler,AND ONE_PnR_handler,SCORE_PnR_handler,PERCENTILE_PnR_handler,LABEL,PLAYER,Constant
1,19.0,13.5,49.0,1.0,13.5,4.4,9.8,44.6,53.2,14.4,15.2,10.5,1.9,44.7,72.9,1,Trae Young,
2,19.0,10.8,36.9,1.05,11.4,4.4,8.1,54.5,61.4,12.1,17.5,11.2,4.4,47.1,82.4,1,Luka Doncic,
3,18.0,10.5,44.7,1.08,11.4,3.6,7.9,45.5,54.2,14.8,12.2,12.2,2.6,46.6,89.4,1,Damian Lillard,
4,21.0,11.5,45.0,0.82,9.4,3.6,8.4,42.9,44.6,9.5,19.5,9.1,2.5,38.6,41.0,1,Cade Cunningham,
5,16.0,9.7,43.7,1.24,12.0,4.4,8.1,54.6,66.5,9.7,11.6,9,5.2,50.3,97.3,1,Tyrese Haliburton,
6,19.0,10.4,46.2,0.97,10.1,3.9,9.1,42.8,50.0,7.1,8.6,6.6,3,41.4,69.1,1,Jalen Brunson,
7,15.0,11.8,46.5,0.98,11.5,4.5,9.3,47.9,55.4,7.9,15.8,6.8,2.8,42.9,70.7,1,LaMelo Ball,
8,19.0,8.6,36.7,0.94,8.1,3.1,7.4,41.1,48.2,7.9,9.1,7.3,3,40.2,66.0,1,Tyrese Maxey,
9,19.0,7.8,30.6,1.03,8.1,3.1,6.2,49.6,51.7,12.2,10.1,7.4,1.4,50,79.8,1,Shai Gilgeous-Alexander,
10,16.0,9.6,36.3,0.98,9.4,3.3,7.6,43.4,50.4,11.1,10.5,9.8,1.3,43.8,71.3,1,Donovan Mitchell,
11,13.0,9.0,33.1,1.22,11.0,4.1,7.5,54.6,60.3,17.1,6,13.7,6,56.4,96.3,1,De'Aaron Fox,
12,20.0,6.9,32.7,1.01,6.9,2.6,5.6,46.4,46.4,18.2,4.4,18.2,4.4,51.1,77.7,1,DeMar DeRozan,
13,19.0,8.4,33.6,0.86,7.3,2.3,6.0,37.7,47.4,10.6,19.4,8.8,1.3,36.3,49.5,1,Stephen Curry,
14,16.0,9.6,45.3,0.87,8.4,3.3,7.0,47.3,50.0,10.4,18.2,9.7,1.3,42.9,51.1,1,Darius Garland,
15,18.0,7.2,31.0,0.98,7.0,2.9,5.8,49.5,51.0,10.1,10.1,7.8,1.6,48.1,70.2,1,Brandon Ingram,
16,21.0,6.2,38.5,0.97,6.0,2.2,4.7,47.5,50.5,13.8,13.1,10.8,3.1,46.9,68.6,1,D'Angelo Russell,
17,20.0,7.0,29.3,0.9,6.3,2.7,6.1,43.4,49.6,2.1,10.7,2.1,0,40,56.7,1,Desmond Bane,
18,18.0,7.8,30.5,0.89,6.9,2.4,6.0,40.7,46.3,10.6,14.9,8.5,2.1,39.7,55.3,1,Anthony Edwards,
19,18.0,7.2,35.2,0.95,6.8,2.5,6.0,41.7,47.7,9.2,7.7,7.7,0,43.8,67.0,1,Zach LaVine,
20,20.0,6.7,32.6,0.92,6.1,2.5,5.7,43.4,49.1,4.5,10.5,3,0,41.4,60.6,1,Dejounte Murray,
21,17.0,7.2,43.0,0.94,6.8,2.6,5.9,44.0,53.5,5.7,15.6,5.7,3.3,38.5,66.5,1,Fred VanVleet,
22,21.0,6.2,38.3,0.87,5.4,2.2,4.9,46.1,47.5,7.6,16,6.1,1.5,42,51.6,1,Dennis Schroder,
23,18.0,8.1,41.1,0.79,6.3,2.1,6.2,33.9,39.7,11,13.8,6.9,2.1,34.5,35.6,1,Jalen Green,
24,19.0,4.8,32.9,1.24,5.9,2.1,3.8,54.2,62.5,16.5,6.6,14.3,2.2,57.1,98.4,1,Immanuel Quickley,
25,20.0,6.1,28.2,0.93,5.7,2.3,4.8,47.9,49.5,10.7,14.8,9.8,4.1,44.3,62.8,1,Mikal Bridges,
26,21.0,5.5,39.3,0.92,5.1,1.8,3.7,47.4,51.9,13.8,21.6,11.2,2.6,43.1,61.7,1,Austin Reaves,
27,11.0,9.2,36.2,1.05,9.6,3.0,6.6,45.2,52.7,15.8,13.9,12.9,2,46.5,83.0,1,Devin Booker,
28,22.0,4.9,37.2,0.93,4.5,2.0,4.1,50.0,53.3,2.8,14.8,2.8,0.9,43.5,62.2,1,Reggie Jackson,
29,20.0,4.4,19.5,1.13,4.9,1.8,3.4,52.2,64.9,9.2,16.1,9.2,2.3,47.1,91.5,2,Paul George,
30,20.0,4.1,38.9,1.16,4.7,2.2,3.9,55.8,59.7,2.5,3.7,2.5,1.2,54.3,93.1,1,Tyus Jones,
31,20.0,6.4,32.0,0.71,4.5,1.7,4.6,35.9,41.8,5.5,22,4.7,0,31.5,22.9,0,Shaedon Sharpe,
32,19.0,3.8,13.9,1.24,4.7,1.8,2.7,66.7,68.6,25,13.9,23.6,9.7,61.1,96.8,2,Giannis Antetokounmpo,
33,15.0,7.7,42.4,0.77,5.9,2.0,6.4,31.3,35.9,11.3,7.8,8.7,2.6,34.8,33.0,1,Malcolm Brogdon,
34,21.0,5.0,32.8,0.82,4.1,1.4,3.4,40.8,42.3,14.3,20,12.4,1.9,40,41.5,1,Cole Anthony,
35,17.0,5.5,33.7,0.88,4.9,2.1,4.4,46.7,46.7,9.6,13.8,9.6,3.2,43.6,54.3,1,Jalen Williams,
36,19.0,5.2,26.7,0.84,4.4,1.4,4.1,35.1,39.6,14.1,10.1,14.1,2,39.4,45.7,1,Jordan Poole,
37,15.0,5.5,37.8,0.99,5.4,1.6,3.6,44.4,53.7,15.9,19.5,13.4,1.2,42.7,72.3,1,James Harden,
38,17.0,5.4,26.9,0.88,4.8,1.9,4.4,44.6,49.3,5.4,14.1,4.3,0,40.2,53.2,1,Jordan Clarkson,
39,19.0,6.0,23.9,0.7,4.2,1.6,4.4,35.7,41.1,5.3,21.9,5.3,0.9,30.7,21.8,0,Jayson Tatum,
40,11.0,7.2,30.5,1.0,7.2,2.8,5.9,47.7,52.3,10.1,10.1,10.1,2.5,46.8,76.2,1,Cam Thomas,
41,21.0,4.3,21.7,0.87,3.8,1.4,3.3,42.9,44.3,14.3,13.2,14.3,4.4,42.9,50.5,1,Franz Wagner,
42,16.0,5.7,26.0,0.85,4.8,1.9,4.9,38.0,40.5,11,5.5,8.8,3.3,39.6,46.8,1,Kyrie Irving,
43,15.0,4.5,28.3,1.12,5.1,1.9,3.8,50.9,58.8,8.8,11.8,8.8,4.4,47.1,91.0,1,Devin Vassell,
44,20.0,3.8,18.7,1.01,3.8,1.5,3.0,49.2,57.6,5.3,16,4,0,44,78.2,2,Kawhi Leonard,
45,10.0,8.1,35.2,0.9,7.3,3.1,6.9,44.9,50.7,3.7,13.6,3.7,2.5,39.5,57.4,1,Terry Rozier,
46,19.0,5.1,33.7,0.76,3.8,1.3,3.8,32.9,37.0,15.6,14.6,15.6,6.3,33.3,29.8,1,Spencer Dinwiddie,
47,21.0,5.0,23.7,0.69,3.5,1.2,3.5,35.6,37.7,17.1,18.1,17.1,4.8,35.2,20.2,0,Paolo Banchero,
48,17.0,5.0,25.2,0.85,4.2,1.2,3.6,34.4,34.4,23.5,11.8,20,7.1,41.2,47.3,1,Jimmy Butler,
49,22.0,4.2,27.6,0.77,3.2,1.2,2.9,42.9,47.6,8.7,26.1,8.7,3.3,34.8,32.4,0,Coby White,
