,GP_PnR_roller,POSS_PnR_roller,FREQ%_PnR_roller,PPP_PnR_roller,PTS_PnR_roller,FGM_PnR_roller,FGA_PnR_roller,FG%_PnR_roller,EFG%_PnR_roller,FT_PnR_roller,TOV_PnR_roller,SF_PnR_roller,AND ONE_PnR_roller,SCORE_PnR_roller,PERCENTILE_PnR_roller,LABEL,PLAYER,Constant
1,22.0,6.4,36.8,1.04,6.6,2.8,5.5,50.0,54.9,6.4,8.6,6.4,2.1,47.9,32.0,0,Nikola Vucevic,
2,18.0,6.9,33.5,1.08,7.4,3.1,5.7,53.9,57.4,12.1,8.1,10.5,2.4,52.4,38.1,0,Alperen Sengun,
3,17.0,5.4,17.8,1.05,5.7,2.0,4.1,49.3,52.2,16.3,10.9,13,2.2,51.1,34.0,0,Joel Embiid,
4,18.0,3.6,23.7,1.5,5.3,1.8,2.9,62.3,73.6,20.3,4.7,20.3,7.8,64.1,92.6,0,Myles Turner,
5,21.0,3.4,13.0,1.24,4.2,1.8,3.1,56.1,61.4,9.9,2.8,9.9,5.6,56.3,66.0,0,Nikola Jokic,
6,20.0,4.0,19.2,1.06,4.2,1.6,3.2,50.8,50.8,15.2,7.6,15.2,2.5,53.2,35.1,0,Anthony Davis,
7,20.0,3.0,19.8,1.23,3.7,1.2,2.6,47.1,55.9,18.3,1.7,18.3,5,53.3,64.9,0,Chet Holmgren,
8,21.0,2.3,25.3,1.49,3.5,1.6,2.0,81.0,81.0,12.2,6.1,12.2,4.1,75.5,88.7,0,Jakob Poeltl,
9,21.0,2.6,24.5,1.28,3.3,1.3,2.1,63.6,64.8,18.5,7.4,18.5,7.4,63,71.9,0,Moritz Wagner,
10,20.0,3.9,25.9,0.87,3.4,1.4,3.4,41.2,46.3,3.8,9,3.8,0,39.7,14.4,1,Zach Collins,
11,21.0,2.3,18.7,1.38,3.1,1.3,2.1,63.6,68.2,8.3,2.1,6.3,2.1,64.6,82.5,0,Jonas Valanciunas,
12,18.0,3.4,26.6,1.08,3.7,1.7,2.8,58.8,58.8,6.6,11.5,6.6,1.6,54.1,39.2,0,Deandre Ayton,
13,15.0,3.3,21.6,1.3,4.3,1.6,2.9,54.5,65.9,8,6,8,2,54,74.2,0,Kristaps Porzingis,
14,18.0,2.7,14.8,1.31,3.5,1.3,2.0,63.9,68.1,25,10.4,25,10.4,62.5,77.3,0,Domantas Sabonis,
15,16.0,3.4,16.0,1.13,3.9,1.4,2.4,59.0,59.0,21.8,9.1,21.8,1.8,60,45.4,0,Bam Adebayo,
16,14.0,3.2,26.0,1.31,4.2,1.7,2.5,68.6,68.6,22.2,11.1,22.2,11.1,64.4,76.3,0,Jalen Duren,
17,20.0,2.7,25.0,1.11,3.0,1.2,1.7,69.7,69.7,22.6,18.9,22.6,3.8,60.4,42.7,0,Ivica Zubac,
18,20.0,2.7,21.7,1.11,3.0,1.1,1.8,60.0,60.0,30.2,13.2,28.3,9.4,58.5,42.7,0,Rudy Gobert,
19,21.0,2.8,27.4,1.02,2.8,0.9,2.5,36.5,50.0,6.9,3.4,6.9,0,39.7,26.8,1,Dario Saric,
20,20.0,2.2,10.6,1.33,2.9,1.1,2.0,52.5,62.5,9.3,0,7,2.3,55.8,78.4,0,Karl-Anthony Towns,
21,21.0,2.9,18.8,0.9,2.6,1.1,2.2,50.0,50.0,11.5,14.8,11.5,1.6,47.5,16.5,1,Evan Mobley,
22,18.0,2.5,23.2,1.2,3.0,1.2,2.0,61.1,61.1,15.6,6.7,15.6,2.2,62.2,60.9,0,Mark Williams,
23,19.0,2.3,8.3,1.23,2.8,1.2,1.7,69.7,69.7,11.6,11.6,11.6,0,65.1,63.9,0,Giannis Antetokounmpo,
24,20.0,2.0,17.2,1.25,2.5,0.8,1.8,45.7,58.6,15,2.5,15,5,50,68.8,0,Brook Lopez,
25,20.0,3.1,14.9,0.8,2.5,0.9,2.6,32.7,35.6,16.4,3.3,16.4,4.9,39.3,7.2,1,Jaren Jackson Jr.,
26,18.0,1.9,22.5,1.41,2.7,1.2,1.6,75.0,75.0,20.6,5.9,20.6,8.8,70.6,84.5,0,Daniel Gafford,
27,16.0,2.4,21.7,1.18,2.9,1.3,1.9,64.5,64.5,15.4,12.8,15.4,7.7,59,52.6,0,Jarrett Allen,
28,18.0,2.4,16.5,1.02,2.5,1.1,2.2,48.7,55.1,4.5,9.1,4.5,2.3,45.5,27.8,1,P.J. Washington,
29,20.0,2.5,18.8,0.9,2.2,0.9,2.0,46.2,48.7,10.2,14.3,10.2,4.1,42.9,15.5,1,Jusuf Nurkic,
30,18.0,1.8,25.4,1.34,2.4,1.1,1.6,67.9,67.9,15.6,3.1,15.6,6.3,65.6,79.4,0,Dereck Lively II,
31,15.0,2.4,11.7,1.17,2.8,1.0,2.1,48.4,61.3,8.3,5.6,8.3,0,47.2,50.5,1,Lauri Markkanen,
32,21.0,1.6,11.7,1.15,1.9,0.7,1.3,55.6,59.3,17.6,11.8,17.6,8.8,52.9,47.4,0,John Collins,
33,14.0,1.7,23.5,1.58,2.7,0.9,1.2,76.5,97.1,12.5,16.7,12.5,0,66.7,96.9,0,Jalen Smith,
