,GP_isolation,POSS_isolation,FREQ%_isolation,PPP_isolation,PTS_isolation,FGM_isolation,FGA_isolation,FG%_isolation,EFG%_isolation,FT_isolation,TOV_isolation,SF_isolation,AND ONE_isolation,SCORE_isolation,PERCENTILE_isolation,LABEL,PLAYER,Constant
1,19.0,6.5,22.0,1.14,7.4,2.4,5.3,46.0,58.0,13.8,7.3,11.4,2.4,48,80.9,0,Luka Doncic,
2,19.0,5.2,20.8,1.15,6.0,2.2,4.5,48.2,57.6,10.1,7.1,10.1,3,48.5,83.6,0,Jayson Tatum,
3,19.0,4.9,19.3,1.22,5.9,1.9,3.9,48.6,53.4,21.5,3.2,17.2,4.3,55.9,89.1,0,Shai Gilgeous-Alexander,
4,18.0,5.6,20.2,0.9,5.1,1.8,4.4,40.5,42.4,13.9,10.9,12.9,3,42.6,52.7,0,Kevin Durant,
5,17.0,4.6,15.3,1.11,5.2,1.9,3.6,53.2,54.8,19,7.6,19,5.1,54.4,80.0,0,Joel Embiid,
6,17.0,4.9,22.3,0.9,4.4,1.6,3.6,45.2,45.2,21.7,9.6,19.3,6,47,53.6,0,Zion Williamson,
7,20.0,3.2,15.7,1.05,3.3,1.3,2.7,46.3,48.1,12.7,3.2,11.1,1.6,50.8,69.1,0,Kawhi Leonard,
8,20.0,3.4,15.2,0.96,3.3,1.0,2.8,36.4,41.8,14.7,7.4,11.8,2.9,41.2,60.0,0,Paul George,
9,21.0,3.4,16.3,0.86,3.0,1.0,2.2,46.8,46.8,20.8,18.1,20.8,4.2,45.8,45.5,0,Paolo Banchero,
10,13.0,4.0,14.7,1.17,4.7,1.6,3.2,51.2,58.5,25,7.7,21.2,11.5,51.9,86.4,0,De'Aaron Fox,
11,19.0,2.9,19.3,1.05,3.1,0.9,2.2,40.5,47.6,20,5.5,20,1.8,49.1,71.8,0,Spencer Dinwiddie,
12,18.0,3.4,14.4,0.95,3.2,0.8,2.4,34.9,40.7,23,8.2,18,1.6,44.3,59.1,0,Damian Lillard,
13,16.0,3.7,16.9,0.95,3.5,1.3,3.2,41.2,42.2,13.6,3.4,11.9,3.4,45.8,58.2,0,Kyrie Irving,
14,19.0,3.4,12.3,0.88,2.9,1.2,2.3,51.2,52.3,17.2,18.8,12.5,3.1,45.3,48.2,0,Giannis Antetokounmpo,
15,20.0,2.4,11.8,1.15,2.8,1.2,2.0,59.0,64.1,6.3,12.5,4.2,0,54.2,82.7,2,Dejounte Murray,
16,19.0,3.1,11.0,0.95,2.9,0.8,2.3,34.1,43.2,17.2,6.9,13.8,0,43.1,57.3,0,Trae Young,
17,18.0,3.7,14.5,0.82,3.1,1.2,3.1,38.2,42.7,7.5,10.4,7.5,0,38.8,40.0,0,Anthony Edwards,
18,11.0,5.2,22.0,0.95,4.9,1.7,4.5,38.0,41.0,12.3,0,12.3,0,45.6,56.4,0,Cam Thomas,
19,17.0,2.8,14.2,1.1,3.1,0.9,2.1,45.7,48.6,25,6.3,25,4.2,52.1,78.2,0,Jimmy Butler,
20,20.0,2.1,10.0,1.24,2.6,0.8,1.4,57.1,57.1,24.4,9.8,24.4,2.4,61,90.9,2,Jaren Jackson Jr.,
21,15.0,2.6,18.0,1.28,3.3,0.9,1.9,50.0,57.1,25.6,5.1,23.1,2.6,59,93.6,0,James Harden,
22,16.0,2.4,11.0,1.28,3.1,1.1,1.9,54.8,64.5,15.4,7.7,15.4,2.6,56.4,93.6,2,Tyrese Haliburton,
23,18.0,2.7,11.5,1.04,2.8,1.2,2.2,56.4,57.7,10.4,14.6,8.3,6.3,50,68.2,0,Brandon Ingram,
24,19.0,2.1,8.2,1.23,2.5,0.9,1.8,52.9,64.7,7.7,10.3,7.7,5.1,48.7,90.0,2,Stephen Curry,
25,20.0,2.9,12.5,0.84,2.4,0.9,2.4,37.5,41.7,8.8,8.8,8.8,1.8,38.6,44.5,0,LeBron James,
26,18.0,2.9,14.4,0.89,2.6,0.9,2.5,37.8,46.7,5.7,11.3,5.7,1.9,35.8,50.5,0,Zach LaVine,
27,20.0,2.7,12.6,0.89,2.4,0.8,2.1,38.1,38.1,17,7.5,17,3.8,43.4,50.5,0,DeMar DeRozan,
28,16.0,2.4,11.4,1.15,2.8,1.1,1.9,56.7,56.7,17.9,7.7,17.9,2.6,59,84.5,2,Bam Adebayo,
29,17.0,2.4,12.0,1.05,2.5,0.8,1.8,45.2,51.6,17.1,12.2,17.1,4.9,46.3,70.0,0,Jordan Clarkson,
30,20.0,2.2,10.8,0.98,2.2,0.8,1.7,48.5,48.5,15.9,11.4,15.9,2.3,50,62.7,0,Karl-Anthony Towns,
31,21.0,1.9,7.3,1.05,2.0,0.9,1.8,51.4,51.4,7.5,2.5,7.5,2.5,52.5,70.9,2,Nikola Jokic,
32,19.0,2.2,9.4,1.0,2.2,0.9,2.0,44.7,51.3,9.5,7.1,9.5,7.1,42.9,65.4,0,Tyrese Maxey,
33,19.0,3.1,14.1,0.72,2.2,0.8,2.5,34.0,34.0,12.1,10.3,6.9,3.4,36.2,25.5,0,Jerami Grant,
34,18.0,1.9,9.9,1.14,2.2,0.8,1.7,50.0,55.0,11.4,5.7,11.4,2.9,51.4,81.8,2,Jalen Green,
35,19.0,2.6,11.2,0.8,2.1,0.8,1.9,40.5,41.9,16,14,14,4,40,34.0,0,Julius Randle,
36,20.0,2.4,11.1,0.81,2.0,0.8,2.1,38.1,40.5,6.3,8.3,6.3,2.1,37.5,39.1,0,Mikal Bridges,
37,21.0,1.8,8.5,0.97,1.7,0.7,1.4,46.7,46.7,13.5,8.1,13.5,2.7,48.6,61.8,2,Pascal Siakam,
38,11.0,3.5,14.0,0.92,3.3,1.1,3.0,36.4,39.4,17.9,2.6,15.4,5.1,43.6,54.5,0,Devin Booker,
39,18.0,2.5,11.1,0.8,2.0,0.7,2.0,36.1,43.1,11.1,11.1,8.9,2.2,37.8,34.0,0,Jaylen Brown,
40,15.0,1.9,10.7,1.21,2.3,0.9,1.5,56.5,56.5,20.7,6.9,13.8,6.9,58.6,87.3,2,Malcolm Brogdon,
