,lineup,iso_c0,iso_c1,iso_c2,cut_c0,cut_c1,cut_c2,off_screen_c0,off_screen_c1,off_screen_c2,pnr_handler_c0,pnr_handler_c1,pnr_handler_c2,pnr_roller_c0,pnr_roller_c1,spot_up_c0,spot_up_c1,post_up_c0,post_up_c1,off_rating
0,"['Nicolas Batum', 'Tobias Harris', 'Joel Embiid', ""De'Anthony Melton"", 'Tyrese Maxey']",2,2,0,2,0,0,1,0,1,1,1,1,1,0,5,0,1,0,135.2
1,"['Myles Turner', 'Buddy Hield', 'Bruce Brown', 'Obi Toppin', 'Tyrese Haliburton']",0,0,2,1,0,1,0,1,0,1,1,1,1,1,4,1,1,0,134.0
2,"['Kentavious Caldwell-Pope', 'Aaron Gordon', 'Nikola Jokic', 'Jamal Murray', 'Michael Porter Jr.']",0,2,1,1,2,0,1,1,1,3,1,1,2,0,2,3,0,2,130.0
3,"['James Harden', 'Paul George', 'Kawhi Leonard', 'Ivica Zubac', 'Terance Mann']",3,0,0,0,1,0,1,1,0,0,1,2,1,0,3,1,2,1,124.8
4,"['Brook Lopez', 'Damian Lillard', 'Khris Middleton', 'Giannis Antetokounmpo', 'Malik Beasley']",2,0,1,1,0,1,0,0,0,2,1,1,2,0,3,2,1,1,124.3
5,"['Donovan Mitchell', 'Jarrett Allen', 'Max Strus', 'Dean Wade', 'Isaac Okoro']",0,0,1,0,1,0,2,0,0,1,1,0,2,0,2,2,0,0,123.4
6,"['Kevin Durant', 'Eric Gordon', 'Jusuf Nurkic', 'Devin Booker', 'Grayson Allen']",2,0,0,1,0,1,0,2,0,1,1,2,1,1,3,2,1,0,122.6
7,"['Harrison Barnes', 'Domantas Sabonis', ""De'Aaron Fox"", 'Kevin Huerter', 'Keegan Murray']",1,0,1,0,1,0,1,0,0,1,1,0,1,0,5,0,0,1,121.8
8,"['Jrue Holiday', 'Kristaps Porzingis', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White']",2,0,1,0,0,1,0,0,2,3,1,0,1,1,5,0,2,2,121.2
9,"['DeMar DeRozan', 'Nikola Vucevic', 'Coby White', 'Patrick Williams', 'Ayo Dosunmu']",1,1,0,1,0,0,1,0,0,3,1,0,1,0,3,2,1,0,119.8
10,"['Tobias Harris', 'Joel Embiid', 'Kelly Oubre Jr.', ""De'Anthony Melton"", 'Tyrese Maxey']",2,2,0,2,0,0,1,0,1,1,1,2,1,0,5,0,1,0,119.7
11,"['Myles Turner', 'Bruce Brown', 'Obi Toppin', 'Tyrese Haliburton', 'Bennedict Mathurin']",0,0,3,1,0,1,0,0,0,0,1,2,1,0,4,1,1,0,118.6
12,"['Tyus Jones', 'Kyle Kuzma', 'Daniel Gafford', 'Jordan Poole', 'Deni Avdija']",0,3,0,0,1,0,1,0,1,2,2,0,1,2,3,1,1,0,118.4
13,"['Clint Capela', 'Dejounte Murray', 'Trae Young', ""De'Andre Hunter"", 'Saddiq Bey']",1,1,1,1,0,1,1,0,1,0,2,2,1,1,3,1,2,0,118.4
14,"['Shai Gilgeous-Alexander', 'Luguentz Dort', 'Josh Giddey', 'Chet Holmgren', 'Jalen Williams']",1,1,2,0,0,1,0,0,1,0,3,1,1,0,3,2,1,0,118.2
15,"['Julius Randle', 'Isaiah Hartenstein', 'Jalen Brunson', 'Donte DiVincenzo', 'RJ Barrett']",1,2,0,0,0,0,0,0,1,2,1,1,0,2,3,1,0,0,117.0
16,"['Spencer Dinwiddie', 'Dorian Finney-Smith', 'Mikal Bridges', 'Nic Claxton', 'Cameron Johnson']",2,0,0,0,0,0,2,0,0,0,2,1,1,1,4,0,0,0,116.5
17,"['Fred VanVleet', 'Dillon Brooks', 'Jalen Green', 'Alperen Sengun', 'Jabari Smith Jr.']",0,1,2,1,0,0,0,0,2,0,2,1,1,1,3,2,2,0,114.5
18,"['Jonas Valanciunas', 'CJ McCollum', 'Brandon Ingram', 'Zion Williamson', 'Herbert Jones']",2,1,0,0,0,1,1,1,0,0,2,2,1,0,4,1,0,1,114.5
19,"['Al Horford', 'Jrue Holiday', 'Jaylen Brown', 'Jayson Tatum', 'Derrick White']",2,0,1,0,0,0,0,0,2,3,1,0,0,2,5,0,1,2,114.3
20,"['Harrison Barnes', 'Domantas Sabonis', ""De'Aaron Fox"", 'Chris Duarte', 'Keegan Murray']",1,0,1,0,1,0,0,0,0,0,1,0,1,0,4,1,0,1,114.3
21,"['Mike Conley', 'Rudy Gobert', 'Karl-Anthony Towns', 'Anthony Edwards', 'Jaden McDaniels']",2,0,0,0,1,0,0,0,2,1,2,0,2,0,4,0,1,1,114.0
22,"['Reggie Jackson', 'Kentavious Caldwell-Pope', 'Aaron Gordon', 'Nikola Jokic', 'Michael Porter Jr.']",0,2,1,1,2,0,1,1,1,3,1,1,2,0,3,2,0,1,113.6
23,"['Clint Capela', 'Dejounte Murray', 'Trae Young', ""De'Andre Hunter"", 'Jalen Johnson']",1,1,1,1,0,1,1,0,1,0,2,1,2,1,3,1,2,0,113.0
24,"['DeMar DeRozan', 'Nikola Vucevic', 'Alex Caruso', 'Coby White', 'Patrick Williams']",1,1,0,1,0,0,1,0,0,2,1,1,1,0,3,2,1,0,112.8
25,"['Fred VanVleet', 'Jalen Green', ""Jae'Sean Tate"", 'Alperen Sengun', 'Jabari Smith Jr.']",0,1,2,1,0,0,0,0,1,0,2,0,1,1,2,3,1,0,112.7
