,GP_post_up,POSS_post_up,FREQ%_post_up,PPP_post_up,PTS_post_up,FGM_post_up,FGA_post_up,FG%_post_up,EFG%_post_up,FT_post_up,TOV_post_up,SF_post_up,AND ONE_post_up,SCORE_post_up,PERCENTILE_post_up,LABEL,PLAYER,Constant
1,21.0,6.6,25.5,1.09,7.2,2.8,5.1,55.1,55.1,16.5,10.8,13.7,4.3,54.7,72.2,2,Nikola Jokic,
2,17.0,6.1,20.0,1.06,6.4,2.1,4.2,50.7,50.7,21.4,11.7,19.4,1.9,54.4,63.9,2,Joel Embiid,
3,20.0,4.4,21.1,1.2,5.2,2.1,3.4,61.2,61.2,19.5,10.3,14.9,6.9,59.8,86.1,2,Anthony Davis,
4,20.0,3.5,16.8,1.12,3.9,1.5,2.5,58.0,58.0,20.3,10.1,14.5,2.9,59.4,75.0,2,Jaren Jackson Jr.,
5,20.0,3.1,15.2,1.21,3.8,1.6,2.4,64.6,64.6,17.7,14.5,16.1,9.7,58.1,91.7,2,Karl-Anthony Towns,
6,16.0,5.0,23.3,0.93,4.6,1.8,3.9,45.2,45.2,15,8.8,11.3,1.3,47.5,45.8,2,Bam Adebayo,
7,19.0,2.9,11.5,1.29,3.7,1.3,2.1,64.1,64.1,29.1,5.5,27.3,5.5,67.3,93.1,0,Jayson Tatum,
8,21.0,3.1,15.2,1.08,3.4,1.4,2.5,55.8,55.8,19.7,7.6,15.2,6.1,56.1,68.1,2,Pascal Siakam,
9,19.0,3.5,15.1,0.9,3.2,1.2,2.4,50.0,50.0,17.9,20.9,17.9,7.5,44.8,37.5,2,Julius Randle,
10,18.0,3.4,16.5,0.97,3.3,1.4,2.6,56.5,56.5,8.2,18,6.6,1.6,49.2,51.4,2,Alperen Sengun,
11,20.0,2.3,11.0,1.2,2.8,1.2,2.0,59.0,59.0,13,4.3,10.9,2.2,60.9,87.5,0,DeMar DeRozan,
12,21.0,2.5,20.6,1.02,2.6,1.0,1.9,55.0,55.0,15.1,13.2,13.2,3.8,52.8,58.3,2,Jonas Valanciunas,
13,19.0,3.5,12.7,0.82,2.8,1.3,2.3,54.5,54.5,9.1,24.2,9.1,0,42.4,21.1,2,Giannis Antetokounmpo,
14,20.0,2.2,13.1,1.21,2.6,1.0,1.6,64.5,64.5,18.6,11.6,16.3,2.3,60.5,90.3,0,Tobias Harris,
15,15.0,2.1,13.9,1.56,3.3,1.1,1.4,76.2,76.2,31.3,9.4,25,6.3,75,100.0,0,Kristaps Porzingis,
16,20.0,2.6,19.6,0.98,2.5,0.9,1.8,51.4,51.4,19.6,11.8,13.7,0,52.9,52.8,2,Jusuf Nurkic,
17,19.0,2.9,13.9,0.89,2.6,0.8,1.7,48.5,48.5,19.6,23.2,19.6,1.8,46.4,36.1,2,Victor Wembanyama,
18,20.0,2.4,15.9,1.0,2.4,1.0,1.7,55.9,55.9,14.6,16.7,10.4,2.1,52.1,55.7,2,Zach Collins,
19,22.0,3.0,17.4,0.73,2.2,1.0,2.6,40.4,40.4,3,13.6,3,3,34.8,8.5,2,Nikola Vucevic,
20,20.0,2.6,22.9,0.9,2.4,1.0,2.3,44.4,44.4,9.6,7.7,9.6,3.8,44.2,38.9,2,Bobby Portis,
21,17.0,3.2,14.5,0.83,2.6,1.1,2.6,42.2,42.2,11.1,9.3,9.3,3.7,42.6,24.6,2,Zion Williamson,
