,GP_spot_up,POSS_spot_up,FREQ%_spot_up,PPP_spot_up,PTS_spot_up,FGM_spot_up,FGA_spot_up,FG%_spot_up,EFG%_spot_up,FT_spot_up,TOV_spot_up,SF_spot_up,AND ONE_spot_up,SCORE_spot_up,PERCENTILE_spot_up,LABEL,PLAYER,Constant
1,22.0,6.5,43.2,1.17,7.7,2.7,6.0,44.4,60.9,2.8,4.9,2.8,0,43.8,74.9,0,Coby White,
2,22.0,4.8,31.0,1.29,6.2,2.2,4.5,48.5,67.2,4.7,4.7,3.8,2.8,47.2,88.8,0,Michael Porter Jr.,
3,19.0,6.4,29.5,1.08,6.9,2.3,5.7,40.4,55.5,5.8,6.6,5.8,2.5,39.7,59.1,0,Jerami Grant,
4,18.0,5.4,39.3,1.34,7.2,2.6,5.2,50.0,68.6,1,2.1,1,0,49.5,91.7,0,Eric Gordon,
5,19.0,4.0,17.7,1.58,6.3,2.2,3.7,58.6,78.6,7.9,3.9,7.9,3.9,57.9,99.0,0,Jalen Brunson,
6,20.0,4.5,51.4,1.29,5.8,2.0,3.9,51.3,71.8,5.6,10,5.6,2.2,47.8,87.8,0,Derrick Jones Jr.,
7,20.0,4.1,38.3,1.38,5.7,1.8,3.3,54.5,73.5,12.2,8.5,11,1.2,53.7,93.4,0,Norman Powell,
8,21.0,4.7,28.9,1.14,5.4,1.8,4.2,42.0,56.3,8.1,4,8.1,1,44.4,67.0,0,Dennis Schroder,
9,21.0,5.2,42.2,1.02,5.3,1.7,4.8,36.0,49.5,4.6,3.7,4.6,0,37.6,48.2,0,Jordan Hawkins,
10,18.0,5.2,34.2,1.17,6.1,2.1,5.1,41.8,57.7,4.3,1.1,4.3,2.1,42.6,73.4,0,Tim Hardaway Jr.,
11,20.0,4.2,41.9,1.29,5.4,1.9,4.1,46.9,66.0,0,2.4,0,0,45.8,88.1,0,Malik Beasley,
12,19.0,3.9,44.4,1.41,5.6,1.9,3.7,51.4,75.7,0,6.7,0,0,48,95.7,0,Donte DiVincenzo,
13,17.0,5.1,35.4,1.21,6.2,2.1,4.5,45.5,63.6,5.7,6.9,5.7,1.1,44.8,78.5,0,OG Anunoby,
14,20.0,4.5,20.8,1.14,5.2,1.7,4.0,42.5,55.6,8.9,2.2,8.9,0,46.7,67.7,0,Mikal Bridges,
15,19.0,5.3,56.2,1.03,5.4,1.8,4.7,38.2,54.5,5,7,3,1,38,49.2,0,Grant Williams,
16,19.0,4.3,54.0,1.26,5.4,1.8,4.2,42.5,63.7,0,1.2,0,0,42,85.1,0,Sam Hauser,
17,21.0,4.2,30.1,1.15,4.9,1.7,4.1,40.7,57.6,2.2,2.2,2.2,1.1,40.4,68.3,0,Max Strus,
18,20.0,4.5,19.8,1.13,5.1,1.9,4.0,46.8,61.4,3.3,10,3.3,1.1,43.3,66.0,0,Kyle Kuzma,
19,19.0,4.5,53.5,1.19,5.3,1.8,4.3,42.0,61.7,1.2,3.5,1.2,0,41.2,77.2,0,Royce O'Neale,
20,20.0,4.3,29.5,1.19,5.1,1.8,4.2,42.9,59.5,2.4,1.2,2.4,2.4,42.4,77.2,0,Bogdan Bogdanovic,
21,18.0,6.2,41.6,0.91,5.6,2.0,5.4,36.7,47.4,6.3,5.4,5.4,0,37.8,30.0,0,P.J. Washington,
22,20.0,3.4,40.6,1.49,5.0,1.6,3.2,50.8,74.6,4.5,3,3,1.5,50.7,97.4,0,Isaiah Joe,
23,21.0,4.4,31.6,1.08,4.7,1.6,3.9,40.2,53.0,10.9,1.1,9.8,1.1,44.6,57.8,0,John Collins,
24,20.0,5.6,27.5,0.88,4.9,1.8,4.5,39.3,50.6,4.5,16.1,4.5,0,35.7,26.2,0,Karl-Anthony Towns,
25,20.0,4.5,21.5,1.08,4.9,1.7,4.1,42.0,53.1,7.8,3.3,7.8,1.1,44.4,58.4,0,DeMar DeRozan,
26,21.0,4.4,22.5,1.05,4.6,1.6,4.0,38.8,53.5,4.3,3.3,4.3,0,40.2,52.8,0,Scottie Barnes,
27,17.0,4.7,36.2,1.18,5.5,1.9,4.1,46.4,63.0,6.3,10,6.3,2.5,43.8,75.5,0,Lonnie Walker IV,
28,18.0,4.6,42.9,1.15,5.2,1.8,4.3,41.6,58.4,2.4,3.7,2.4,0,41.5,68.6,0,Grayson Allen,
29,19.0,4.5,28.6,1.09,4.9,1.6,4.1,39.7,53.8,9.3,2.3,9.3,2.3,41.9,62.3,0,Keldon Johnson,
30,20.0,4.3,21.1,1.09,4.7,1.7,3.9,43.6,56.4,3.5,5.8,2.3,0,43,62.3,0,Dejounte Murray,
31,18.0,5.0,39.5,1.03,5.2,1.9,4.4,43.0,57.6,2.2,11.1,2.2,1.1,38.9,50.3,0,Buddy Hield,
32,19.0,3.2,21.1,1.52,4.8,1.6,3.1,53.4,75.9,5,0,3.3,1.7,55,98.3,0,Spencer Dinwiddie,
33,21.0,3.1,20.6,1.38,4.3,1.6,2.8,55.9,71.2,9.1,6.1,7.6,4.5,54.5,93.7,0,Cole Anthony,
34,21.0,4.3,21.7,1.0,4.3,1.6,4.0,40.0,50.0,3.3,3.3,3.3,0,40.7,43.9,0,Franz Wagner,
35,20.0,3.8,18.7,1.2,4.5,1.6,3.3,48.5,61.4,9.3,4,6.7,1.3,50.7,77.8,0,Kawhi Leonard,
36,21.0,4.5,53.4,0.95,4.2,1.4,4.1,34.5,45.4,6.4,2.1,6.4,1.1,37.2,33.3,0,Georges Niang,
37,19.0,4.0,40.4,1.16,4.6,1.6,3.7,43.7,62.0,0,6.6,0,0,40.8,71.0,0,Dorian Finney-Smith,
38,21.0,3.8,32.8,1.09,4.1,1.4,3.6,40.0,57.3,1.3,6.3,1.3,1.3,37.5,60.1,0,Isaiah Stewart,
39,20.0,3.9,51.0,1.1,4.3,1.5,3.6,41.7,57.6,1.3,5.2,1.3,0,40.3,63.7,0,Nickeil Alexander-Walker,
40,16.0,3.7,42.4,1.41,5.2,1.6,3.1,52.0,71.0,11.9,3.4,6.8,0,55.9,95.0,0,Aaron Nesmith,
41,18.0,3.3,12.0,1.38,4.6,1.5,2.9,50.9,69.8,8.3,3.3,6.7,0,53.3,94.1,0,Kevin Durant,
42,18.0,3.6,29.4,1.3,4.6,1.6,3.2,50.0,69.8,1.6,7.8,1.6,0,46.9,89.1,0,Jabari Smith Jr.,
43,21.0,3.1,14.9,1.26,4.0,1.2,2.5,50.0,67.3,15.2,6.1,12.1,0,53,84.4,0,Paolo Banchero,
44,20.0,3.3,13.8,1.26,4.2,1.5,2.9,52.6,67.5,7.6,7.6,7.6,1.5,51.5,84.4,0,Desmond Bane,
45,18.0,4.0,30.3,1.15,4.6,1.7,3.4,48.4,62.1,5.6,11.1,5.6,2.8,44.4,69.6,0,Dillon Brooks,
46,19.0,3.4,26.3,1.28,4.3,1.5,3.0,50.9,71.1,1.6,9.4,1.6,0,46.9,86.1,0,Duncan Robinson,
47,19.0,3.5,14.0,1.21,4.3,1.4,2.9,49.1,66.4,9,10.4,9,1.5,47.8,78.9,0,Jayson Tatum,
48,18.0,4.3,41.5,1.04,4.5,1.6,4.1,37.8,50.7,6.4,1.3,5.1,2.6,39.7,51.3,0,Harrison Barnes,
49,16.0,3.3,25.5,1.49,4.9,1.6,2.9,53.2,74.5,9.4,3.8,9.4,1.9,54.7,97.0,0,Derrick White,
50,20.0,3.8,32.6,1.04,4.0,1.4,3.6,37.5,52.1,2.6,2.6,2.6,0,38.2,51.8,0,Brook Lopez,
51,19.0,4.2,50.3,1.0,4.2,1.6,3.8,41.1,52.1,5.1,5.1,5.1,2.5,39.2,43.9,0,Josh Hart,
52,20.0,3.9,34.4,1.0,3.9,1.5,3.6,40.8,54.9,0,9,0,0,37.2,43.9,0,Naz Reid,
53,20.0,4.0,26.1,0.99,3.9,1.4,3.3,43.1,51.5,7.6,10.1,7.6,0,43,41.3,0,Chet Holmgren,
54,20.0,4.1,30.1,0.95,3.9,1.2,3.6,33.8,45.1,9.8,6.1,9.8,2.4,36.6,34.7,0,De'Andre Hunter,
55,14.0,5.4,39.3,1.03,5.5,2.0,5.0,40.0,52.1,2.7,4,2.7,0,40,48.8,0,Santi Aldama,
56,20.0,3.9,29.3,1.0,3.9,1.3,3.7,34.2,50.0,3.9,2.6,2.6,1.3,35.1,43.9,0,De'Anthony Melton,
57,17.0,4.2,29.0,1.07,4.5,1.6,3.9,42.4,56.1,2.8,5.6,2.8,1.4,40.8,56.4,0,Brandon Miller,
58,21.0,3.6,31.3,1.01,3.6,1.4,3.2,43.3,56.0,1.3,10.7,1.3,1.3,38.7,47.2,0,Jaime Jaquez Jr.,
59,22.0,2.8,27.2,1.21,3.4,1.2,2.6,47.4,64.0,3.2,6.5,3.2,1.6,45.2,79.2,0,Kentavious Caldwell-Pope,
60,20.0,3.2,56.1,1.17,3.8,1.3,3.0,41.7,59.2,4.7,3.1,4.7,1.6,42.2,74.3,0,Matisse Thybulle,
61,18.0,3.6,25.1,1.15,4.2,1.4,3.4,40.3,58.1,1.5,3.1,1.5,0,40,70.2,0,Malik Monk,
62,20.0,3.5,31.4,1.07,3.8,1.3,3.1,41.0,56.6,5.7,10,5.7,2.9,38.6,56.8,0,Saddiq Bey,
63,18.0,3.9,17.1,1.06,4.2,1.4,3.5,41.3,51.6,8.5,5.6,8.5,2.8,42.3,53.1,0,Brandon Ingram,
64,14.0,5.4,28.6,0.99,5.4,1.6,4.6,35.4,48.5,9.2,6.6,7.9,1.3,38.2,40.9,0,RJ Barrett,
65,20.0,3.9,17.2,0.97,3.8,1.3,3.6,34.7,47.2,6.5,2.6,6.5,2.6,36.4,38.9,0,Paul George,
66,19.0,3.2,38.1,1.21,3.9,1.3,2.8,46.3,65.7,3.3,8.2,0,0,44.3,80.2,0,Alex Caruso,
67,20.0,3.3,28.6,1.14,3.7,1.4,3.0,47.5,56.8,7.7,6.2,7.7,4.6,46.2,66.7,0,Deni Avdija,
68,19.0,3.5,35.4,1.09,3.8,1.4,3.2,43.3,57.5,9,6,9,4.5,41.8,60.4,0,Corey Kispert,
69,19.0,3.6,49.6,1.07,3.8,1.3,3.1,40.7,56.8,4.4,8.8,4.4,0,39.7,57.4,0,Simone Fontecchio,
70,20.0,3.6,28.6,1.01,3.7,1.3,3.2,39.1,54.7,5.6,6.9,5.6,1.4,37.5,47.5,0,Jalen Suggs,
71,22.0,2.2,16.6,1.5,3.3,1.2,2.1,56.5,78.3,2.1,4.2,2.1,2.1,54.2,98.0,0,Reggie Jackson,
72,19.0,3.2,13.4,1.2,3.8,1.3,2.9,43.6,56.4,10,1.7,10,3.3,46.7,77.8,0,Tyrese Maxey,
73,21.0,3.1,40.0,1.09,3.4,1.1,2.9,39.3,54.9,4.5,3,4.5,0,40.9,61.3,0,Moses Moody,
74,20.0,3.0,15.1,1.18,3.6,1.2,2.5,48.0,65.0,6.7,10,6.7,0,46.7,76.6,0,Shaedon Sharpe,
75,20.0,3.6,47.1,0.99,3.6,1.3,3.4,37.3,51.5,2.8,5.6,2.8,1.4,36.1,40.6,0,Cedi Osman,
76,21.0,4.2,20.2,0.81,3.4,1.2,3.5,35.1,41.9,6.8,11.4,5.7,2.3,34.1,16.5,1,Pascal Siakam,
77,15.0,4.1,16.0,1.15,4.7,1.7,3.8,43.9,59.6,1.6,4.9,1.6,0,42.6,69.0,0,LaMelo Ball,
78,18.0,3.4,13.4,1.13,3.9,1.3,3.1,43.6,55.5,9.7,3.2,9.7,1.6,46.8,65.0,0,Anthony Edwards,
79,15.0,3.3,20.4,1.41,4.6,1.6,3.1,52.2,70.7,6.1,2,6.1,2,53.1,95.4,0,Devin Vassell,
80,21.0,2.9,18.0,1.13,3.3,1.1,2.8,39.7,56.0,3.3,1.6,3.3,0,41,65.3,0,D'Angelo Russell,
81,15.0,4.3,21.1,1.06,4.6,1.5,4.2,36.5,53.2,1.5,1.5,1.5,0,36.9,54.1,0,Lauri Markkanen,
82,20.0,2.5,42.0,1.36,3.4,1.2,2.3,52.2,69.6,4,4,4,0,52,92.7,0,Cameron Payne,
83,16.0,3.1,14.3,1.36,4.3,1.6,2.9,53.2,71.3,2,6,2,2,50,92.7,0,Kyrie Irving,
84,20.0,3.1,31.3,1.11,3.4,1.2,2.9,39.7,56.9,1.6,3.3,1.6,0,39.3,64.4,0,Mike Conley,
85,18.0,3.8,32.9,1.0,3.8,1.4,3.6,40.6,51.6,2.9,4.4,2.9,1.5,39.7,43.9,0,Bruce Brown,
86,14.0,4.9,34.7,0.99,4.9,1.8,4.5,39.7,50.8,4.3,4.3,4.3,0,40.6,40.3,0,Keegan Murray,
87,20.0,4.4,21.2,0.78,3.4,1.2,3.9,31.2,37.7,8,4.6,6.9,1.1,34.5,15.2,1,Jaren Jackson Jr.,
88,22.0,4.2,46.3,0.72,3.0,1.0,3.5,30.3,40.8,4.3,14,4.3,0,28,9.2,1,Patrick Williams,
89,19.0,5.5,23.4,0.64,3.5,1.1,4.7,23.3,31.1,6.7,6.7,6.7,0,26.9,5.6,1,Julius Randle,
90,17.0,3.1,22.2,1.25,3.9,1.4,2.9,46.0,64.0,1.9,3.8,1.9,0,45.3,83.5,0,Jrue Holiday,
91,15.0,3.6,28.6,1.22,4.4,1.5,2.8,54.8,67.9,9.3,13,5.6,0,51.9,80.9,0,Jalen Johnson,
92,18.0,3.8,33.5,0.96,3.7,1.3,3.5,36.5,49.2,5.8,4.3,5.8,1.4,37.7,36.4,0,Gary Trent Jr.,
93,18.0,3.8,17.0,0.96,3.7,1.3,3.6,35.4,46.2,5.8,2.9,4.3,2.9,36.2,36.4,0,Jaylen Brown,
94,21.0,2.7,26.4,1.16,3.1,1.0,2.4,43.1,56.9,8.9,3.6,7.1,3.6,44.6,71.3,0,Dario Saric,
95,20.0,3.2,30.3,1.03,3.3,1.2,3.0,40.7,52.5,3.2,3.2,3.2,0,41.3,49.7,0,Killian Hayes,
96,21.0,3.0,23.7,1.03,3.1,1.0,2.3,45.8,60.4,7.9,17.5,7.9,1.6,41.3,49.7,0,Collin Sexton,
97,20.0,3.4,35.4,0.96,3.3,1.1,3.1,36.1,49.2,4.4,5.9,4.4,0,36.8,36.0,1,Luguentz Dort,
98,18.0,3.9,52.2,0.93,3.6,1.3,3.6,37.5,50.0,2.9,7.1,2.9,1.4,34.3,31.4,1,Josh Green,
99,20.0,2.6,19.4,1.23,3.2,1.2,2.3,50.0,63.0,7.7,5.8,7.7,1.9,50,83.1,0,Jeremy Sochan,
100,13.0,4.5,31.2,1.1,4.9,1.7,4.2,40.7,58.3,1.7,5.2,1.7,0,39.7,63.4,0,Cameron Johnson,
101,20.0,3.0,18.0,1.08,3.2,1.2,2.8,41.1,53.6,3.4,3.4,3.4,1.7,40.7,59.4,0,Tobias Harris,
102,17.0,3.1,18.6,1.21,3.7,1.3,2.8,45.8,60.4,7.7,3.8,5.8,3.8,46.2,79.5,0,Jalen Williams,
103,19.0,2.8,34.8,1.17,3.3,1.2,2.6,44.0,58.0,7.4,3.7,5.6,3.7,44.4,72.1,0,Bilal Coulibaly,
